#Latest: Time (s),#Latest: Temperature (°C),#Latest: Potential (V)
2126,41.59359423,2.132225037
2126.5,41.58231165,2.233886719
2127,41.56941928,2.35710144
2127.5,41.55491792,2.542114258
2128,41.55169576,2.719306946
2128.5,41.54686278,3.003692627
2129,41.54041927,3.156852722
2129.5,41.53719771,3.306388855
2130,41.53719771,3.512573242
2130.5,41.54847374,3.647613525
2131,41.55169576,3.865814209
2131.5,41.55169576,4.172897339
2132,41.54686278,4.357910156
2132.5,41.54686278,4.461288452
2133,41.54686278,4.653549194
2133.5,41.55008474,4.790496826
2134,41.54364096,4.909133911
2134.5,41.55169576,4.999542236
2135,41.55814021,5.007362366
2135.5,41.56941928,5.005836487
2136,41.58231165,5.006980896
2136.5,41.58714684,5.006980896
2137,41.59681813,5.003547668
2137.5,41.61132731,4.888153076
2138,41.61132731,4.682159424
2138.5,41.62261411,4.528808594
2139,41.62100161,4.416656494
2139.5,41.63551533,4.172515869
2140,41.62906445,3.709220886
2140.5,41.64035384,3.241157532
2141,41.64035384,2.885627747
2141.5,41.64357968,2.692985535
2142,41.64357968,2.488517761
2142.5,41.64035384,2.439498901
2143,41.64357968,2.261543274
2143.5,41.64680566,2.187538147
2144,41.64035384,2.193450928
2144.5,41.64035384,2.045631409
2145,41.62906445,1.916885376
2145.5,41.62583922,1.841926575
2146,41.61938915,1.798439026
2146.5,41.60810281,1.750183105
2147,41.60165422,1.727104187
2147.5,41.59681813,1.724624634
2148,41.59037047,1.735115051
2148.5,41.60165422,1.751899719
2149,41.60487845,1.782989502
2149.5,41.61455195,1.831054688
2150,41.61938915,1.888084412
2150.5,41.63712813,1.97467804
2151,41.63712813,2.088737488
2151.5,41.65003177,2.261924744
2152,41.65648439,2.308082581
2152.5,41.65809763,2.474403381
2153,41.66132421,2.576065063
2153.5,41.66132421,2.833175659
2154,41.66132421,2.981758118
2154.5,41.65809763,3.194999695
2155,41.65809763,3.406906128
2155.5,41.65809763,3.632164001
2156,41.65648439,3.893089294
2156.5,41.65809763,4.092788696
2157,41.65809763,4.272842407
2157.5,41.65325801,4.418182373
2158,41.64680566,4.563140869
2158.5,41.64680566,4.726409912
2159,41.63228982,4.873847961
2159.5,41.62906445,4.917907715
2160,41.61777671,5.004501343
2160.5,41.60810281,5.006980896
2161,41.59681813,5.007362366
2161.5,41.58392335,5.005455017
2162,41.57264217,5.006599426
2162.5,41.55491792,5.006599426
2163,41.55008474,5.004119873
2163.5,41.53397629,4.948425293
2164,41.53236563,4.862594604
2164.5,41.5291444,4.816436768
2165,41.51304028,4.786300659
2165.5,41.5082097,4.642677307
2166,41.48728061,4.516220093
2166.5,41.47601343,4.322624207
2167,41.46313864,4.125976563
2167.5,41.44383043,4.227638245
2168,41.41970187,3.873825073
2168.5,41.41648529,3.695869446
2169,41.39558073,3.532218933
2169.5,41.39558073,3.306770325
2170,41.38111161,3.141403198
2170.5,41.37468175,3.043937683
2171,41.38111161,2.889060974
2171.5,41.38111161,2.750396729
2172,41.37146701,2.603340149
