#Latest:Time(s),#Latest:Temperature(°C),#Latest:Potential(V)
999.2,39.29096928,1.7578125
999.6,39.26432196,1.75151825
1000,39.26432196,1.75151825
1000.3,39.26432196,1.770591736
1000.7,39.23924941,1.82094574
1001.1,39.26432196,1.887130737
1001.5,39.26432196,1.991081238
1001.9,39.29096928,2.117347717
1002.3,39.26432196,2.243423462
1002.7,39.29096928,2.432441711
1003.1,39.29096928,2.568054199
1003.5,39.29096928,2.665710449
1003.9,39.31605641,2.873802185
1004.3,39.34271925,3.053474426
1004.7,39.36782102,3.204917908
1005.1,39.36782102,3.4034729
1005.5,39.39449945,3.561019897
1005.9,39.36782102,3.762817383
1006.3,39.34271925,3.857421875
1006.7,39.31605641,4.037094116
1007.1,39.31605641,4.179000854
1007.5,39.34271925,4.349136353
1007.9,39.31605641,4.48474884
1008.3,39.29096928,4.569816589
1008.7,39.26432196,4.724311829
1009.1,39.26432196,4.80632782
1009.5,39.26432196,4.885101318
1009.9,39.23924941,4.963874817
1010.3,39.21261754,4.989242554
1010.7,39.23924941,5.008125305
1011.1,39.23924941,5.008125305
1011.5,39.23924941,5.004882813
1011.9,39.23924941,4.992294312
1012.3,39.23924941,4.970169067
1012.7,39.23924941,4.91027832
1013.1,39.23924941,4.872512817
1013.5,39.21261754,4.73690033
1013.9,39.18755949,4.686546326
1014.3,39.18755949,4.563522339
1014.7,39.16094299,4.38709259
1015.1,39.18755949,4.248428345
1015.5,39.18755949,4.093933105
1015.9,39.18755949,3.98979187
1016.3,39.18755949,3.819656372
1016.7,39.18755949,3.677749634
1017.1,39.18755949,3.50112915
1017.5,39.21261754,3.248977661
1017.9,39.21261754,3.104019165
1018.3,39.23924941,2.911758423
1018.7,39.23924941,2.757263184
1019.1,39.21261754,2.605819702
1019.5,39.18755949,2.432441711
1019.9,39.16094299,2.240180969
1020.3,39.13589939,2.177238464
1020.7,39.1092982,2.070045471
1021.1,39.08426897,1.978492737
1021.5,39.05768302,1.899719238
1021.9,39.05768302,1.805114746
1022.3,39.0326681,1.76410675
1022.7,39.0326681,1.738929749
1023.1,39.0326681,1.732635498
1023.5,39.00609732,1.735877991
1023.9,39.0326681,1.76410675
1024.3,39.0326681,1.786231995
1024.7,39.00609732,1.846122742
1025.1,39.00609732,1.962852478
1025.5,38.98109664,2.076339722
1025.9,38.92955446,2.22454071
1026.3,38.92955446,2.347373962
1026.7,38.92955446,2.467155457
1027.1,38.92955446,2.637481689
1027.5,38.90301381,2.769851685
1027.9,38.92955446,2.839279175
1028.3,38.92955446,3.009414673
1028.7,38.95454096,3.201675415
1029.1,38.95454096,3.337287903
1029.5,38.95454096,3.56426239
1029.9,38.95454096,3.750228882
1030.3,38.98109664,3.929901123
1030.7,38.98109664,4.068565369
1031.1,38.98109664,4.254722595
1031.5,38.98109664,4.38709259
1031.9,38.98109664,4.475402832
1032.3,38.98109664,4.636001587
1032.7,38.98109664,4.774856567
1033.1,38.95454096,4.831504822
1033.5,38.95454096,4.900932312
1033.9,38.95454096,4.96711731
1034.3,38.95454096,4.998588562
1034.7,38.92955446,5.008125305
1035.1,38.95454096,5.008125305
1035.5,38.95454096,5.004882813
1035.9,38.95454096,4.998588562
1036.3,38.95454096,4.91027832
1036.7,38.98109664,4.87575531
1037.1,38.95454096,4.752731323
1037.5,38.95454096,4.642486572
1037.9,38.95454096,4.528999329
1038.3,38.95454096,4.361915588
1038.7,38.98109664,4.257774353
1039.1,38.98109664,4.131698608
1039.5,38.98109664,3.977203369
1039.9,39.0326681,3.810119629
1040.3,39.0326681,3.620910645
1040.7,39.0326681,3.50112915
1041.1,39.0326681,3.255271912
1041.5,39.05768302,3.119850159
1041.9,39.08426897,2.936935425
1042.3,39.08426897,2.703666687
1042.7,39.08426897,2.571296692
1043.1,39.1092982,2.41355896
1043.5,39.1092982,2.262306213
1043.9,39.1092982,2.139282227
1044.3,39.13589939,2.035331726
1044.7,39.13589939,1.92489624
1045.1,39.13589939,1.855659485
1045.5,39.16094299,1.82723999
1045.9,39.16094299,1.773643494
1046.3,39.16094299,1.745223999
1046.7,39.16094299,1.742172241
1047.1,39.13589939,1.742172241
1047.5,39.16094299,1.767349243
1047.9,39.13589939,1.833534241
1048.3,39.13589939,1.871299744
1048.7,39.1092982,1.928138733
1049.1,39.1092982,2.047920227
1049.5,39.1092982,2.107810974
1049.9,39.08426897,2.303314209
1050.3,39.08426897,2.536582947
1050.7,39.08426897,2.656364441
1051.1,39.05768302,3.003120422
1051.5,39.05768302,3.223800659
1051.9,39.0326681,3.340339661
1052.3,39.0326681,3.46031189
1052.7,38.98109664,3.636741638
1053.1,38.95454096,3.797531128
1053.5,38.92955446,3.876304626
1053.9,38.90301381,4.055976868
1054.3,38.87804142,4.2137146
1054.7,38.85307586,4.346084595
1055.1,38.85307586,4.418563843
1055.5,38.87804142,4.500579834
1055.9,38.85307586,4.591941834
1056.3,38.8265574,4.677009583
1056.7,38.80160585,4.765319824
1057.1,38.77510225,4.818916321
1057.5,38.75016466,4.837799072
1057.9,38.69875214,4.907226563
1058.3,38.67227805,4.982948303
1058.7,38.64736817,4.992294312
1059.1,38.62090874,4.992294312
1059.5,38.59601261,4.982948303
1059.9,38.56956777,4.96711731
1060.3,38.56956777,4.941940308
1060.7,38.56956777,4.913520813
1061.1,38.56956777,4.81262207
1061.5,38.54468534,4.749488831
1061.9,38.54468534,4.658126831
1062.3,38.51825501,4.673957825
1062.7,38.51825501,4.468917847
1063.1,38.54468534,4.229354858
1063.5,38.56956777,4.223060608
1063.9,38.59601261,4.078102112
1064.3,38.62090874,3.787994385
1064.7,38.62090874,3.680801392
1065.1,38.62090874,3.592681885
1065.5,38.62090874,3.30581665
1065.9,38.62090874,3.081893921
1066.3,38.64736817,2.861213684
1066.7,38.62090874,2.621650696
1067.1,38.64736817,2.457809448
1067.5,38.64736817,2.331733704
1067.9,38.67227805,2.189826965
1068.3,38.67227805,2.054214478
1068.7,38.67227805,1.953315735
1069.1,38.67227805,1.909255981
1069.5,38.67227805,1.783180237
1069.9,38.67227805,1.808357239
1070.3,38.64736817,1.7578125
1070.7,38.62090874,1.738929749
1071.1,38.62090874,1.75151825
1071.5,38.59601261,1.786231995
1071.9,38.59601261,1.839828491
1072.3,38.59601261,1.861953735
1072.7,38.59601261,1.887130737
1073.1,38.62090874,2.016448975
1073.5,38.62090874,2.035331726
1073.9,38.59601261,2.196121216
1074.3,38.56956777,2.249717712
1074.7,38.56956777,2.508163452
1075.1,38.59601261,2.640533447
1075.5,38.62090874,2.899169922
1075.9,38.62090874,3.006362915
1076.3,38.62090874,3.078842163
1076.7,38.62090874,3.126144409
1077.1,38.62090874,3.419303894
1077.5,38.62090874,3.513908386
1077.9,38.62090874,3.769111633
1078.3,38.62090874,3.838539124
1078.7,38.56956777,3.996086121
1079.1,38.59601261,4.229354858
1079.5,38.56956777,4.434394836
1079.9,38.56956777,4.557228088
1080.3,38.59601261,4.54158783
1080.7,38.56956777,4.727554321
1081.1,38.62090874,4.80632782
1081.5,38.67227805,4.932403564
1081.9,38.69875214,4.986000061
1082.3,38.69875214,5.004882813
1082.7,38.72367585,5.008125305
1083.1,38.72367585,5.001831055
1083.5,38.75016466,4.989242554
1083.9,38.77510225,4.979705811
1084.3,38.80160585,4.929351807
1084.7,38.8265574,4.847335815
1085.1,38.8265574,4.793739319
1085.5,38.85307586,4.71496582
1085.9,38.85307586,4.588890076
1086.3,38.85307586,4.487991333
1086.7,38.85307586,4.374504089
1087.1,38.85307586,4.204177856
1087.5,38.8265574,4.081344604
1087.9,38.85307586,3.911018372
1088.3,38.87804142,3.933143616
1088.7,38.90301381,3.766059875
1089.1,38.90301381,3.318405151
1089.5,38.92955446,3.438186646
1089.9,38.92955446,3.214263916
1090.3,38.95454096,2.984237671
